Mass Range,Relative Error Chirp Mass (%),Relative Error Mass Ratio (%)
CNN_low_mass,3.390093167470126,1.5791535377502497
CNN_low_mass,-2.5092688411677013,-1.2624323368072454
CNN_low_mass,-15.764859776923249,2.7043491601944023
CNN_low_mass,-3.911575099633422,-13.183259963989252
CNN_low_mass,-0.9730681783599346,-12.508577108383173
CNN_low_mass,-4.204085964435411,-29.822783470153812
CNN_low_mass,-10.485440028772732,-29.168660640716553
CNN_low_mass,-8.472405198196833,-31.731522083282478
CNN_low_mass,-2.700211613854427,-36.08729362487793
CNN_low_mass,-1.3633484130123006,-28.112235069274906
CNN_low_mass,-6.004029781105591,-23.48094701766968
CNN_low_mass,-3.409405144509398,-27.958369255065925
CNN_low_mass,-7.449687100864699,-32.47634649276734
CNN_low_mass,-0.23746773533208565,-32.079601287841804
CNN_low_mass,-6.310041181398178,-36.60632610321045
CNN_low_mass,-3.847177198972708,-31.603426933288574
CNN_low_mass,1.3790440590659836,-31.61115884780884
CNN_low_mass,-5.4116706584381316,-36.14030838012695
CNN_low_mass,-5.095410391745269,-29.282085895538334
CNN_low_mass,-13.430954890797093,-16.817324161529545
CNN_low_mass,-10.495595481026129,-27.767596244812015
CNN_low_mass,-12.515006181799956,-44.978880882263184
CNN_low_mass,-3.9967432411000337,-43.32537791308235
CNN_low_mass,-3.9621215024192997,-42.36020551008337
CNN_low_mass,-8.396722808626375,-42.35551006653729
CNN_low_mass,2.129532082805498,-36.02061201544369
CNN_low_mass,-7.535826470786948,-44.86683396732106
CNN_low_mass,-5.545696531400413,-37.01746604021858
CNN_low_mass,-5.025462319476537,-43.393026379977954
CNN_low_mass,-2.553747001270107,-38.589726476108325
CNN_low_mass,1.1789874874631707,-39.38475216136259
CNN_low_mass,-3.5451011568952975,-40.33804711173563
CNN_low_mass,-11.81046507300621,-42.85702004152186
CNN_low_mass,-7.6470506851920055,-42.48622515622307
CNN_low_mass,-1.7603718220263735,-38.814798523398004
CNN_low_mass,0.4823565190373276,-35.0619210916407
